name,price,address,city,category_code,city_code,business,scan_date
Canon EF 50mm f1.4 USM Lens,325.0,https://toronto.craigslist.ca/tor/phd/d/canon-ef-50mm-f14-usm-lens/6752840687.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Pentax SP500 Film Camera with Super Takumar 55mm f2 Lens,85.0,https://toronto.craigslist.ca/tor/phd/d/pentax-sp500-film-camera-with/6752842799.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon 420EZ Speedlite,125.0,https://toronto.craigslist.ca/tor/phd/d/canon-420ez-speedlite/6767334768.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon EF 28-70mm f3.5-4.5 II Macro Lens,125.0,https://toronto.craigslist.ca/tor/phd/d/canon-ef-28-70mm-f35-45-ii/6767333904.html,Toronto,phd,tor,1,2018-12-09 13:11:55
White Victorian Style Picture Frame from Urban Barn-LIKE NEW!,80.0,https://toronto.craigslist.ca/tor/pho/d/white-victorian-style-picture/6767278948.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon FL 50mm f3.5 Macro 1:1 Lens,145.0,https://toronto.craigslist.ca/tor/phd/d/canon-fl-50mm-f35-macro-11/6767240673.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon EOS 650 Auto Focus Film Camera,65.0,https://toronto.craigslist.ca/tor/phd/d/canon-eos-650-auto-focus-film/6752841015.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Nikon D7000 DSLR Camera Body,595.0,https://toronto.craigslist.ca/tor/phd/d/nikon-d7000-dslr-camera-body/6752368414.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Voigtlander Vitessa T with Color-Skopar 50mm f2.8 Lens,225.0,https://toronto.craigslist.ca/tor/phd/d/voigtlander-vitessa-with/6767240368.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Exakta Jhagee Dresden with Carl Zeiss Jena Tessar 5cm f2.8,275.0,https://toronto.craigslist.ca/tor/phd/d/exakta-jhagee-dresden-with/6752369120.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Image 28-80mm f3.-4.5 Macro Minolta MD Mount Lens,75.0,https://toronto.craigslist.ca/tor/phd/d/image-28-80mm-f3-45-macro/6767237167.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya C330 w. 80mm lens,475.0,https://toronto.craigslist.ca/tor/pho/d/mamiya-c330-80mm-lens/6761938973.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Redrock Micro DSLR Mattebox,1500.0,https://toronto.craigslist.ca/tor/pho/d/redrock-micro-dslr-mattebox/6745038211.html,Toronto,pho,tor,0,2018-12-09 13:11:55
