name,price,address,category,scan_date
MXL 990 Condenser Microphone with Shockmount,69,https://www.amazon.com/MXL-990-Condenser-Microphone-Shockmount/dp/B0002GIRP2/ref=sr_1_61?s=electronics&ie=UTF8&qid=1544408524&sr=1-61,Camera & Photo: Electronics,2018-12-08
"Bose 301-V Stereo Loudspeakers (Pair, Black)",328,https://www.amazon.com/Bose-301-V-Stereo-Loudspeakers-Black/dp/B00006L7RV/ref=sr_1_62?s=electronics&ie=UTF8&qid=1544408524&sr=1-62&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Hammermill Paper, Premium Color Copy Paper, 11 x 17 Paper, Ledger Size, 28lb Paper, 100 Bright, 1 Ream / 500 Sheets (102541R) Acid Free Paper",22,https://www.amazon.com/Hammermill-Premium-Ledger-Bright-102541R/dp/B00006IDP4/ref=sr_1_63?s=electronics&ie=UTF8&qid=1544408524&sr=1-63&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Scotch Self-Sealing Laminating Pouches, 25 Sheets, 9.0 in x 11.5 in, Gloss Finish Letter Size (LS854-25G-WM) (LS854WC)",22,https://www.amazon.com/Scotch-Self-Sealing-Laminating-LS854-25G-WM-LS854WC/dp/B00006HZ5F/ref=sr_1_68?s=electronics&ie=UTF8&qid=1544408524&sr=1-68&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
HP 12CP Financial Calculator,49,https://www.amazon.com/d/Financial-Business-Calculators/HP-HP12CPLAT-12CP-Financial-Calculator/B000FVNX2Q/ref=sr_1_69?s=electronics&ie=UTF8&qid=1544408524&sr=1-69&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Midland 75-822 40 Channel CB-Way Radio,94,https://www.amazon.com/dp/B00000K2YR,Camera & Photo: Electronics,2018-12-08
Canon CLI-36 Color Ink Tank (1511B002),18,https://www.amazon.com/Canon-CLI-36-Color-Tank-1511B002/dp/B000IBX602/ref=sr_1_72?s=electronics&ie=UTF8&qid=1544408524&sr=1-72&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Brother TN580 High Yield Toner Cartridge - Retail Packaging - Black,99,https://www.amazon.com/Brother-TN580-Yield-Toner-Cartridge/dp/B000BQM01K/ref=sr_1_73?s=electronics&ie=UTF8&qid=1544408524&sr=1-73&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery Weatherproof Laser Shipping Labels, 2"" x 4"", 500/Pack (5523)",25,https://www.amazon.com/Avery-Weatherproof-Laser-Shipping-Labels/dp/B00006IBUW/ref=sr_1_75?s=electronics&ie=UTF8&qid=1544408524&sr=1-75&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
CH Products Pro Pedals USB Flight Simulator Pedals (300-111),120,https://www.amazon.com/CH-Products-Pedals-Simulator-300-111/dp/B0000512IE/ref=sr_1_76?s=electronics&ie=UTF8&qid=1544408524&sr=1-76&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery WeatherProof Address Labels with TrueBlock Technology for Laser Printers 1"" x 2-5/8"", Box of 1,500 (5520)",32,https://www.amazon.com/Avery-WeatherProof-TrueBlock-Technology-Printers/dp/B00006IBUV/ref=sr_1_77?s=electronics&ie=UTF8&qid=1544408524&sr=1-77&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Brother Genuine, DK-2205 Continuous Paper Label Roll, Cut-to-Length Label, 2.4_ѝ x 100 Feet, (1) Roll Per Box",18,https://www.amazon.com/Brother-Genuine-DK-2205-Continuous-Length/dp/B0002VS66W/ref=sr_1_76?s=electronics&ie=UTF8&qid=1544408526&sr=1-76&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
