name,price,address,category_code,scan_date
"Canon PowerShot Digital Camera [SX530] with 50x Optical Zoom, Built-in Wi-Fi and NFC - Black",229,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Optical/dp/B00RKNND2W/ref=sr_1_3/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-3&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Nikon D5300 Digital SLR Camera Dual Lens Kit,496,https://www.amazon.com/Nikon-D5300-Digital-Camera-Dual/dp/B01M5JMQ1R/ref=sr_1_4/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-4,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Canon PowerShot SX420 Digital Camera w/42x Optical Zoom - Wi-Fi & NFC Enabled (Black),199,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Optical/dp/B019UDI5PO/ref=sr_1_5/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-5,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"Nikon D3500 DX-Format DSLR Two Lens Kit with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR & AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED, Black",496,https://www.amazon.com/ev/EGG/ref=sr_deal_ev,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Nikon D3500 W/ AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Black,396,https://www.amazon.com/Nikon-D3500-NIKKOR-18-55mm-3-5-5-6G/dp/B07GWKDLGT/ref=sr_1_7/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-7&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Fujifilm X-T2 Mirrorless Digital Camera (Body Only),"1,099",https://www.amazon.com/Fujifilm-X-T2-Mirrorless-Digital-Body/dp/B01I3LNMAM/ref=sr_1_8/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-8&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Canon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Silver),109,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Stabilization/dp/B019UDHOMO/ref=sr_1_9/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-9,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"PANASONIC LUMIX FZ80 4K 60X Zoom Camera, 18.1 Megapixels, DC VARIO 20-1200mm Lens, F2.8-5.9, 4K 30p Video, Power O.I.S., WiFi â€“ DC-FZ80K (USA BLACK)",297,https://www.amazon.com/PANASONIC-Camera-Megapixels-20-1200mm-F2-8-5-9/dp/B01MS16V42/ref=sr_1_10/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-10&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Sony Alpha a6000 Mirrorless Digitial Camera 24.3MP SLR Camera with 3.0-Inch LCD (Black) w/16-50mm Power Zoom Lens,498,https://www.amazon.com/ev/EGG/ref=sr_deal_ev,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Canon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Red),109,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Stabilization/dp/B019UDHT6U/ref=sr_1_12/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-12,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"Canon PowerShot Digital Camera [G7 X Mark II] with Wi-Fi & NFC, LCD Screen, and 1-inch Sensor - Black",599,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Screen/dp/B01BV14OXA/ref=sr_1_14/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-14&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,569,https://www.amazon.com/Canon-18-55mm-75-300mm-Filters-Professional/dp/B079GDB7C7/ref=sr_1_16/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-16&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Canon EOS M50 Mirrorless Camera Body w/4K Video (Black),599,https://www.amazon.com/ev/EGG/ref=sr_deal_ev,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Sony Alpha a6000 Mirrorless Digital Camera w/ 16-50mm and 55-210mm Power Zoom Lenses,648,https://www.amazon.com/Sony-Mirrorless-Digital-16-50mm-55-210mm/dp/B00NO1T55I/ref=sr_1_19/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-19,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Nikon D850 FX-Format Digital SLR Camera Body,"3,296",https://www.amazon.com/Nikon-D850-FX-Format-Digital-Camera/dp/B07524LHMT/ref=sr_1_20/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-20&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"Sony a7 III Full-frame Mirrorless Interchangeable-Lens Camera with 28-70mm Lens Optical with 3-Inch LCD, Black (ILCE7M3K/B)","2,198",https://www.amazon.com/Sony-Full-frame-Mirrorless-Interchangeable-Lens-ILCE7M3K/dp/B07B45D8WV/ref=sr_1_21/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-21&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
